FROM | (68.64, 122.83) to (97.51, 132.71)
4" | (303.36, 796.03) to (312.39, 805.91)
x | (315.12, 796.03) to (320.06, 805.91)
0.337" | (322.56, 796.03) to (350.79, 805.91)
WTH | (353.52, 796.03) to (376.49, 805.91)
ASTM | (313.2, 807.07) to (340.39, 816.95)
B444 | (342.96, 807.07) to (366.21, 816.95)
P | (697.68, 804.43) to (704.27, 814.31)
5001 | (904.56, 813.31) to (926.61, 823.19)
UNS | (298.08, 817.87) to (318.59, 827.75)
N06625 | (321.36, 817.87) to (355.89, 827.75)
GR | (358.56, 817.87) to (373.37, 827.75)
1 | (375.84, 817.87) to (381.33, 827.75)
15LL0P12 | (695.52, 818.43) to (732.32, 828.6)
1" | (2151.84, 911.31) to (2159.44, 921.48)
1" | (2170.32, 951.63) to (2177.92, 961.8)
2002 | (756.72, 962.83) to (778.77, 972.71)
1-1/2" | (1220.4, 968.91) to (1241.84, 979.08)
V | (1634.4, 970.27) to (1640.99, 980.15)
3/4" | (1600.32, 1097.23) to (1617.51, 1107.12)
D | (1620.24, 1097.23) to (1627.38, 1107.12)
OS | (594.96, 1115.23) to (608.99, 1125.12)
P | (1846.8, 1172.59) to (1853.39, 1182.48)
2004 | (1864.08, 1172.59) to (1886.14, 1182.48)
5007 | (1726.8, 1190.59) to (1748.86, 1200.48)
OS | (1844.4, 1190.83) to (1858.43, 1200.72)
5007 | (1864.08, 1191.31) to (1886.14, 1201.2)
1 | (2218.56, 1253.79) to (2223.2, 1263.96)
mm/100 | (2225.28, 1253.55) to (2260.4, 1266.24)
mm | (2262.24, 1253.55) to (2275.91, 1263.72)
SLOPE | (2183.76, 1259.71) to (2216.51, 1269.6)
15NX0P | (582.96, 1264.83) to (613.01, 1275.0)
15LL0P12 | (625.92, 1264.83) to (662.72, 1275.0)
3/4" | (2190.96, 1292.35) to (2208.15, 1302.24)
x | (2210.88, 1292.35) to (2215.82, 1302.24)
0.113" | (2218.32, 1292.35) to (2246.55, 1302.24)
WTH | (2249.28, 1292.35) to (2272.26, 1302.24)
4" | (303.36, 1300.27) to (312.39, 1310.16)
x | (315.12, 1300.27) to (320.06, 1310.16)
0.337" | (322.56, 1300.27) to (350.79, 1310.16)
WTH | (353.52, 1300.27) to (376.49, 1310.16)
ASTM | (2204.64, 1303.39) to (2231.83, 1313.28)
B444 | (2234.4, 1303.39) to (2257.66, 1313.28)
ASTM | (313.44, 1311.07) to (340.63, 1320.96)
B444 | (343.2, 1311.07) to (366.45, 1320.96)
UNS | (2189.52, 1314.43) to (2210.03, 1324.32)
N06625 | (2212.8, 1314.43) to (2247.34, 1324.32)
GR | (2250.0, 1314.43) to (2264.82, 1324.32)
1 | (2267.28, 1314.43) to (2272.77, 1324.32)
UNS | (298.32, 1322.11) to (318.83, 1332.0)
N06625 | (321.6, 1322.11) to (356.13, 1332.0)
GR | (358.8, 1322.11) to (373.61, 1332.0)
1 | (376.08, 1322.11) to (381.57, 1332.0)
15NX0P | (2089.2, 1329.63) to (2119.25, 1339.8)
1"-P-2008-15NX0P | (2179.92, 1349.16) to (2265.23, 1360.98)
1" | (2187.6, 1372.03) to (2196.63, 1381.92)
x | (2199.36, 1372.03) to (2204.3, 1381.92)
0.179" | (2206.8, 1372.03) to (2235.03, 1381.92)
WTH | (2237.76, 1372.03) to (2260.74, 1381.92)
ASTM | (2197.44, 1383.07) to (2224.63, 1392.96)
B444 | (2227.2, 1383.07) to (2250.46, 1392.96)
UNS | (2182.32, 1393.87) to (2202.83, 1403.76)
N06625 | (2205.6, 1393.87) to (2240.14, 1403.76)
GR | (2242.8, 1393.87) to (2257.62, 1403.76)
1 | (2260.08, 1393.87) to (2265.57, 1403.76)
15LL0P12 | (628.8, 1410.99) to (665.6, 1421.16)
4"-P-1015-15NX0P | (302.88, 1566.84) to (388.43, 1578.66)
1" | (1393.44, 1574.19) to (1401.04, 1584.36)
4"-P-1003-15NX0P | (302.4, 1639.56) to (387.95, 1651.38)
1" | (1520.16, 1658.43) to (1527.76, 1668.6)
1"-P-2016-15NX0P | (2179.92, 1663.08) to (2265.23, 1674.9)
1" | (2188.08, 1683.79) to (2197.11, 1693.68)
x | (2199.84, 1683.79) to (2204.78, 1693.68)
0.179" | (2207.28, 1683.79) to (2235.51, 1693.68)
WTH | (2238.24, 1683.79) to (2261.22, 1693.68)
ASTM | (2198.16, 1694.83) to (2225.35, 1704.72)
B444 | (2227.92, 1694.83) to (2251.18, 1704.72)
ECC | (1561.92, 1702.51) to (1582.5, 1712.4)
UNS | (2183.04, 1705.87) to (2203.55, 1715.76)
N06625 | (2206.32, 1705.87) to (2240.86, 1715.76)
GR | (2243.52, 1705.87) to (2258.34, 1715.76)
1 | (2260.8, 1705.87) to (2266.29, 1715.76)
3/4" | (1518.0, 1728.43) to (1535.19, 1738.32)
D | (1537.92, 1728.43) to (1545.06, 1738.32)
4" | (303.36, 1732.03) to (312.39, 1741.92)
x | (315.12, 1732.03) to (320.06, 1741.92)
0.337" | (322.56, 1732.03) to (350.79, 1741.92)
WTH | (353.52, 1732.03) to (376.49, 1741.92)
ASTM | (313.44, 1742.83) to (340.63, 1752.72)
B444 | (343.2, 1742.83) to (366.45, 1752.72)
UNS | (298.32, 1753.87) to (318.83, 1763.76)
N06625 | (321.6, 1753.87) to (356.13, 1763.76)
GR | (358.8, 1753.87) to (373.61, 1763.76)
1 | (376.08, 1753.87) to (381.57, 1763.76)
P0XN51 | (1598.19, 952.75) to (1608.36, 982.8)
4" | (308.16, 148.03) to (317.19, 157.91)
x | (319.92, 148.03) to (324.86, 157.91)
0.337" | (327.36, 148.03) to (355.59, 157.91)
WTH | (358.32, 148.03) to (381.29, 157.91)
ASTM | (318.24, 159.07) to (345.43, 168.95)
B444 | (348.0, 159.07) to (371.25, 168.95)
UNS | (303.12, 170.11) to (323.63, 179.99)
N06625 | (326.4, 170.11) to (360.93, 179.99)
GR | (363.6, 170.11) to (378.41, 179.99)
1 | (380.88, 170.11) to (386.37, 179.99)
4" | (303.12, 220.03) to (312.15, 229.91)
x | (314.88, 220.03) to (319.82, 229.91)
0.337" | (322.32, 220.03) to (350.55, 229.91)
WTH | (353.28, 220.03) to (376.25, 229.91)
ASTM | (312.96, 230.83) to (340.15, 240.71)
B444 | (342.72, 230.83) to (365.97, 240.71)
UNS | (297.84, 241.87) to (318.35, 251.75)
N06625 | (321.12, 241.87) to (355.65, 251.75)
GR | (358.32, 241.87) to (373.13, 251.75)
1 | (375.6, 241.87) to (381.09, 251.75)
4" | (302.88, 364.27) to (311.91, 374.15)
x | (314.64, 364.27) to (319.58, 374.15)
0.337" | (322.08, 364.27) to (350.31, 374.15)
WTH | (353.04, 364.27) to (376.01, 374.15)
ASTM | (312.96, 375.31) to (340.15, 385.19)
B444 | (342.72, 375.31) to (365.97, 385.19)
UNS | (297.84, 386.11) to (318.35, 395.99)
N06625 | (321.12, 386.11) to (355.65, 395.99)
GR | (358.32, 386.11) to (373.13, 395.99)
1 | (375.6, 386.11) to (381.09, 395.99)
4" | (2165.52, 489.07) to (2174.55, 498.95)
x | (2177.28, 489.07) to (2182.22, 498.95)
0.337" | (2184.72, 489.07) to (2212.95, 498.95)
WTH | (2215.68, 489.07) to (2238.66, 498.95)
ASTM | (2175.6, 500.11) to (2202.79, 509.99)
B444 | (2205.36, 500.11) to (2228.62, 509.99)
4" | (302.88, 508.03) to (311.91, 517.91)
x | (314.64, 508.03) to (319.58, 517.91)
0.337" | (322.08, 508.03) to (350.31, 517.91)
WTH | (353.04, 508.03) to (376.01, 517.91)
UNS | (2160.24, 510.91) to (2180.75, 520.79)
N06625 | (2183.52, 510.91) to (2218.06, 520.79)
GR | (2220.72, 510.91) to (2235.54, 520.79)
1 | (2238.0, 510.91) to (2243.49, 520.79)
ASTM | (312.96, 519.07) to (340.15, 528.95)
B444 | (342.72, 519.07) to (365.97, 528.95)
UNS | (297.84, 530.11) to (318.35, 539.99)
N06625 | (321.12, 530.11) to (355.65, 539.99)
GR | (358.32, 530.11) to (373.13, 539.99)
1 | (375.6, 530.11) to (381.09, 539.99)
4"-P-1008-15NX0P | (302.64, 559.32) to (388.19, 571.14)
4" | (303.12, 580.03) to (312.15, 589.91)
x | (314.88, 580.03) to (319.82, 589.91)
0.337" | (322.32, 580.03) to (350.55, 589.91)
WTH | (353.28, 580.03) to (376.25, 589.91)
ASTM | (313.2, 591.07) to (340.39, 600.95)
B444 | (342.96, 591.07) to (366.21, 600.95)
UNS | (297.84, 602.11) to (318.35, 611.99)
N06625 | (321.12, 602.11) to (355.65, 611.99)
GR | (358.32, 602.11) to (373.13, 611.99)
1 | (375.6, 602.11) to (381.09, 611.99)
OS | (881.28, 813.79) to (895.31, 823.67)
15NX0P | (751.92, 819.15) to (781.97, 829.32)
2" | (916.32, 843.87) to (923.92, 854.04)
2"-OS-5001-15NX0P | (803.04, 847.56) to (896.27, 859.38)
2" | (807.84, 868.51) to (816.87, 878.39)
x | (819.6, 868.51) to (824.54, 878.39)
0.218" | (827.04, 868.51) to (855.27, 878.39)
WTH | (858.0, 868.51) to (880.98, 878.39)
ASTM | (817.68, 879.55) to (844.87, 889.43)
B444 | (847.44, 879.55) to (870.69, 889.43)
UNS | (802.56, 890.35) to (823.07, 900.23)
N06625 | (825.84, 890.35) to (860.37, 900.23)
GR | (863.04, 890.35) to (877.86, 900.23)
1 | (880.32, 890.35) to (885.81, 900.23)
P | (1093.24, 952.74) to (1103.4, 958.32)
0 | (1093.24, 958.23) to (1103.4, 962.88)
P | (691.2, 962.83) to (697.79, 972.71)
X | (1093.24, 962.58) to (1103.4, 968.16)
N | (1093.24, 967.64) to (1103.4, 973.68)
5 | (1093.24, 973.59) to (1103.4, 978.24)
1 | (1093.24, 978.15) to (1103.4, 982.8)
P | (549.6, 1032.43) to (556.19, 1042.31)
15NX0P | (598.8, 1045.23) to (628.85, 1055.4)
1" | (1561.44, 1052.43) to (1569.04, 1062.6)
2" | (1750.8, 1057.47) to (1758.4, 1067.64)
CORROSION | (2047.2, 1152.27) to (2096.67, 1162.44)
PROBE | (2058.0, 1163.79) to (2086.13, 1173.96)
2" | (812.88, 1174.75) to (821.91, 1184.64)
x | (824.64, 1174.75) to (829.58, 1184.64)
0.218" | (832.08, 1174.75) to (860.31, 1184.64)
WTH | (863.04, 1174.75) to (886.02, 1184.64)
ASTM | (822.72, 1185.55) to (849.91, 1195.44)
B444 | (852.48, 1185.55) to (875.73, 1195.44)
UNS | (807.6, 1196.59) to (828.11, 1206.48)
N06625 | (830.88, 1196.59) to (865.41, 1206.48)
GR | (868.08, 1196.59) to (882.9, 1206.48)
1 | (885.36, 1196.59) to (890.85, 1206.48)
4" | (303.36, 1228.27) to (312.39, 1238.16)
x | (315.12, 1228.27) to (320.06, 1238.16)
0.337" | (322.56, 1228.27) to (350.79, 1238.16)
WTH | (353.52, 1228.27) to (376.49, 1238.16)
ASTM | (313.44, 1239.07) to (340.63, 1248.96)
B444 | (343.2, 1239.07) to (366.45, 1248.96)
UNS | (298.32, 1250.11) to (318.83, 1260.0)
N06625 | (321.6, 1250.11) to (356.13, 1260.0)
GR | (358.8, 1250.11) to (373.61, 1260.0)
1 | (376.08, 1250.11) to (381.57, 1260.0)
4" | (303.6, 1444.27) to (312.63, 1454.16)
x | (315.36, 1444.27) to (320.3, 1454.16)
0.337" | (322.8, 1444.27) to (351.03, 1454.16)
WTH | (353.76, 1444.27) to (376.73, 1454.16)
ASTM | (313.68, 1455.31) to (340.87, 1465.2)
B444 | (343.44, 1455.31) to (366.69, 1465.2)
UNS | (298.56, 1466.35) to (319.07, 1476.24)
N06625 | (321.84, 1466.35) to (356.37, 1476.24)
GR | (359.04, 1466.35) to (373.85, 1476.24)
1 | (376.32, 1466.35) to (381.81, 1476.24)
4"-P-1013-15NX0P | (302.64, 1711.56) to (387.95, 1723.38)
4"-P-1011-15NX0P | (302.64, 1855.08) to (387.95, 1866.9)
3/4" | (2186.88, 1861.87) to (2204.07, 1871.76)
x | (2206.8, 1861.87) to (2211.74, 1871.76)
0.113" | (2214.24, 1861.87) to (2242.47, 1871.76)
WTH | (2245.2, 1861.87) to (2268.18, 1871.76)
ASTM | (2200.56, 1872.91) to (2227.75, 1882.8)
B444 | (2230.32, 1872.91) to (2253.58, 1882.8)
UNS | (2185.44, 1883.95) to (2205.95, 1893.84)
N06625 | (2208.72, 1883.95) to (2243.26, 1893.84)
GR | (2245.92, 1883.95) to (2260.74, 1893.84)
1 | (2263.2, 1883.95) to (2268.69, 1893.84)
2002 | (1440.67, 954.51) to (1450.56, 976.56)
4" | (303.12, 292.51) to (312.15, 302.39)
x | (314.88, 292.51) to (319.82, 302.39)
0.337" | (322.32, 292.51) to (350.55, 302.39)
WTH | (353.28, 292.51) to (376.25, 302.39)
ASTM | (313.2, 303.55) to (340.39, 313.43)
B444 | (342.96, 303.55) to (366.21, 313.43)
UNS | (298.08, 314.35) to (318.59, 324.23)
N06625 | (321.36, 314.35) to (355.89, 324.23)
GR | (358.56, 314.35) to (373.37, 324.23)
1 | (375.84, 314.35) to (381.33, 324.23)
OS | (1163.04, 348.19) to (1177.07, 358.07)
5002 | (1182.72, 348.43) to (1204.77, 358.31)
5004 | (1243.44, 347.47) to (1265.5, 357.35)
1NX0P17 | (1224.72, 361.47) to (1259.12, 371.64)
1" | (1473.12, 444.27) to (1480.72, 454.44)
4"-P-2012-15NX0P | (2160.96, 469.8) to (2246.51, 481.62)
2001 | (712.32, 804.19) to (734.37, 814.07)
5001 | (768.48, 804.91) to (790.53, 814.79)
OS | (938.16, 813.07) to (952.19, 822.95)
1" | (1124.64, 947.79) to (1132.24, 957.96)
2 | (1460.68, 951.51) to (1470.84, 956.16)
1 | (1460.68, 956.07) to (1470.84, 960.72)
P | (1460.68, 960.42) to (1470.84, 966.0)
0 | (1460.68, 965.67) to (1470.84, 970.32)
L | (1460.68, 970.23) to (1470.84, 974.88)
L | (1460.68, 974.55) to (1470.84, 979.2)
5 | (1460.68, 979.11) to (1470.84, 983.76)
1 | (1460.68, 983.67) to (1470.84, 988.32)
16"-P-2002-15LL0P12 | (2173.68, 992.04) to (2273.5, 1003.86)
16" | (2172.48, 1012.03) to (2187.03, 1021.91)
x | (2189.76, 1012.03) to (2194.7, 1021.91)
1.438" | (2197.2, 1012.03) to (2225.43, 1021.91)
WTH | (2228.16, 1012.03) to (2251.14, 1021.91)
API | (2183.76, 1023.07) to (2199.47, 1032.95)
5L | (2202.24, 1023.07) to (2213.26, 1032.95)
GR | (2215.92, 1023.07) to (2230.74, 1032.95)
B | (2233.2, 1023.07) to (2239.79, 1032.95)
CORROSION | (2037.6, 1029.87) to (2087.07, 1040.04)
COUPON | (2044.56, 1041.39) to (2079.87, 1051.56)
15LL0P12 | (547.2, 1045.23) to (584.0, 1055.4)
5002 | (617.04, 1114.99) to (639.09, 1124.88)
15NX0P | (1542.24, 1118.91) to (1572.29, 1129.08)
2" | (916.32, 1151.79) to (923.92, 1161.96)
CORROSION | (2151.6, 1189.23) to (2201.07, 1199.4)
SERVER | (2159.76, 1200.51) to (2192.67, 1210.68)
4"-P-1009-15NX0P | (302.64, 1206.6) to (387.95, 1218.42)
4"-P-1019-15NX0P | (302.88, 1278.84) to (388.19, 1290.66)
OS | (2082.72, 1314.67) to (2096.75, 1324.56)
5007 | (2103.84, 1314.19) to (2125.9, 1324.08)
OS | (2139.36, 1314.67) to (2153.39, 1324.56)
4" | (303.36, 1516.03) to (312.39, 1525.92)
x | (315.12, 1516.03) to (320.06, 1525.92)
0.337" | (322.56, 1516.03) to (350.79, 1525.92)
WTH | (353.52, 1516.03) to (376.49, 1525.92)
ASTM | (313.2, 1527.07) to (340.39, 1536.96)
B444 | (342.96, 1527.07) to (366.21, 1536.96)
UNS | (298.08, 1538.11) to (318.59, 1548.0)
N06625 | (321.36, 1538.11) to (355.89, 1548.0)
GR | (358.56, 1538.11) to (373.37, 1548.0)
1 | (375.84, 1538.11) to (381.33, 1548.0)
4" | (303.36, 1588.51) to (312.39, 1598.4)
x | (315.12, 1588.51) to (320.06, 1598.4)
0.337" | (322.56, 1588.51) to (350.79, 1598.4)
WTH | (353.52, 1588.51) to (376.49, 1598.4)
4"-P-2011-15NX0P | (2179.92, 1593.96) to (2265.23, 1605.78)
ASTM | (313.44, 1599.31) to (340.63, 1609.2)
B444 | (343.2, 1599.31) to (366.45, 1609.2)
UNS | (298.32, 1610.35) to (318.83, 1620.24)
N06625 | (321.6, 1610.35) to (356.13, 1620.24)
GR | (358.8, 1610.35) to (373.61, 1620.24)
1 | (376.08, 1610.35) to (381.57, 1620.24)
00B | (2543.52, 1644.41) to (2558.71, 1652.79)
10-12201-0003-002 | (2601.12, 1675.85) to (2675.14, 1684.23)
TSO | (1515.12, 1684.11) to (1531.93, 1694.28)
15NX0P | (1498.56, 1710.27) to (1528.61, 1720.44)
AKA | (2469.84, 1726.3) to (2483.69, 1733.39)
MAS | (2549.28, 1726.54) to (2564.33, 1733.63)
MAS | (2631.36, 1726.06) to (2646.41, 1733.15)
MHA | (2715.84, 1726.06) to (2731.37, 1733.15)
01/21/22 | (2462.88, 1734.22) to (2490.1, 1741.31)
01/21/22 | (2543.04, 1734.22) to (2570.26, 1741.31)
01/21/22 | (2625.12, 1733.98) to (2652.34, 1741.07)
01/21/22 | (2709.84, 1733.98) to (2737.06, 1741.07)
00B | (2449.68, 1765.9) to (2462.09, 1772.99)
01/21/22 | (2480.88, 1765.66) to (2508.1, 1772.75)
RE-ISSUED | (2529.6, 1765.9) to (2567.6, 1772.99)
FOR | (2569.44, 1765.9) to (2584.4, 1772.99)
CONSTRUCTION | (2586.24, 1765.9) to (2642.48, 1772.99)
10-12201-0003 | (2484.48, 1794.84) to (2579.85, 1808.81)
PID | (2801.76, 1850.31) to (2820.39, 1861.48)
PRODUCTION | (2522.88, 1867.07) to (2616.07, 1881.47)
AND | (2619.36, 1867.07) to (2649.43, 1881.47)
TEST | (2652.72, 1867.07) to (2688.16, 1881.47)
MANIFOLD | (2691.6, 1867.07) to (2764.63, 1881.47)
MARJAN | (2441.28, 1915.8) to (2498.64, 1929.77)
G74 | (2457.36, 1951.07) to (2483.36, 1965.47)
A | (2520.72, 1950.83) to (2531.11, 1965.23)
CA-907106 | (2599.2, 1951.55) to (2669.12, 1965.95)
012 | (2740.32, 1952.03) to (2763.2, 1966.43)
00B | (2800.08, 1952.03) to (2825.35, 1966.43)
RESTRICTED | (2592.48, 1993.26) to (2689.72, 2008.94)
SMART | (2730.72, 1997.19) to (2769.71, 2008.36)
P | (1441.15, 935.41) to (1451.04, 942.0)
4"-P-1004-15NX0P | (302.64, 271.08) to (387.95, 282.9)
4"x2" | (1238.16, 379.71) to (1256.96, 389.88)
4"-P-1006-15NX0P | (302.64, 415.32) to (388.19, 427.14)
4" | (302.88, 723.79) to (311.91, 733.67)
x | (314.64, 723.79) to (319.58, 733.67)
0.337" | (322.08, 723.79) to (350.31, 733.67)
WTH | (353.04, 723.79) to (376.01, 733.67)
ASTM | (312.96, 734.83) to (340.15, 744.71)
B444 | (342.72, 734.83) to (365.97, 744.71)
UNS | (297.84, 745.87) to (318.35, 755.75)
N06625 | (321.12, 745.87) to (355.65, 755.75)
GR | (358.32, 745.87) to (373.13, 755.75)
1 | (375.6, 745.87) to (381.09, 755.75)
0-1000 | (1121.28, 872.11) to (1151.97, 881.99)
PSIG | (1154.64, 872.11) to (1177.93, 881.99)
D | (2190.0, 953.47) to (2197.14, 963.35)
P | (1202.2, 958.02) to (1212.36, 963.6)
2001 | (706.08, 962.83) to (728.13, 972.71)
P | (743.28, 962.83) to (749.87, 972.71)
0 | (1202.2, 963.51) to (1212.36, 968.16)
X | (1202.2, 967.86) to (1212.36, 973.44)
N | (1202.2, 972.92) to (1212.36, 978.96)
5 | (1202.2, 978.87) to (1212.36, 983.52)
1 | (1202.2, 983.43) to (1212.36, 988.08)
P | (598.32, 1032.67) to (604.91, 1042.55)
P | (545.76, 1116.19) to (552.35, 1126.08)
2010 | (559.44, 1116.19) to (581.49, 1126.08)
1" | (1816.56, 1143.87) to (1824.16, 1154.04)
2"-OS-5002-15NX0P | (802.8, 1153.56) to (895.79, 1165.38)
1"x3/4" | (1801.44, 1177.71) to (1826.96, 1187.88)
3/4"-OS-5008-1NX0P | (2184.0, 1271.88) to (2279.87, 1283.7)
5008 | (2159.04, 1314.67) to (2181.1, 1324.56)
4" | (302.88, 1372.03) to (311.91, 1381.92)
x | (314.64, 1372.03) to (319.58, 1381.92)
0.337" | (322.08, 1372.03) to (350.31, 1381.92)
WTH | (353.04, 1372.03) to (376.01, 1381.92)
ASTM | (312.72, 1382.83) to (339.91, 1392.72)
B444 | (342.48, 1382.83) to (365.73, 1392.72)
UNS | (297.6, 1393.87) to (318.11, 1403.76)
N06625 | (320.88, 1393.87) to (355.41, 1403.76)
GR | (358.08, 1393.87) to (372.89, 1403.76)
1 | (375.36, 1393.87) to (380.85, 1403.76)
3/4" | (2184.72, 1542.43) to (2201.91, 1552.32)
x | (2204.64, 1542.43) to (2209.58, 1552.32)
0.113" | (2212.08, 1542.43) to (2240.31, 1552.32)
WTH | (2243.04, 1542.43) to (2266.02, 1552.32)
ASTM | (2198.4, 1553.47) to (2225.59, 1563.36)
B444 | (2228.16, 1553.47) to (2251.42, 1563.36)
UNS | (2183.28, 1564.27) to (2203.79, 1574.16)
N06625 | (2206.56, 1564.27) to (2241.1, 1574.16)
GR | (2243.76, 1564.27) to (2258.58, 1574.16)
1 | (2261.04, 1564.27) to (2266.53, 1574.16)
V | (1404.48, 1575.31) to (1411.07, 1585.2)
4" | (303.36, 1660.27) to (312.39, 1670.16)
x | (315.12, 1660.27) to (320.06, 1670.16)
0.337" | (322.56, 1660.27) to (350.79, 1670.16)
WTH | (353.52, 1660.27) to (376.49, 1670.16)
ASTM | (313.2, 1671.31) to (340.39, 1681.2)
B444 | (342.96, 1671.31) to (366.21, 1681.2)
UNS | (298.08, 1682.11) to (318.59, 1692.0)
N06625 | (321.36, 1682.11) to (355.89, 1692.0)
GR | (358.56, 1682.11) to (373.37, 1692.0)
1 | (375.84, 1682.11) to (381.33, 1692.0)
3/4"-OS-5009-1NX0P | (2179.92, 1840.68) to (2275.79, 1852.5)
2102 | (1441.15, 906.51) to (1451.04, 928.56)
1. | (2443.68, 65.9) to (2453.03, 77.08)
CORROSION | (2456.16, 65.9) to (2524.95, 77.08)
TRANSMITTER | (2527.92, 65.9) to (2607.75, 77.08)
SHALL | (2610.72, 65.9) to (2646.21, 77.08)
BE | (2649.36, 65.9) to (2664.25, 77.08)
CONNECTED | (2667.36, 65.9) to (2738.07, 77.08)
TO | (2741.04, 65.9) to (2756.69, 77.08)
RTU | (2456.16, 78.38) to (2479.11, 89.56)
WITH | (2482.08, 78.38) to (2511.51, 89.56)
RS-485/ | (2514.48, 78.38) to (2555.51, 89.56)
SERIAL | (2558.64, 78.38) to (2598.45, 89.56)
LINK | (2601.6, 78.38) to (2626.57, 89.56)
IN | (2629.68, 78.38) to (2640.87, 89.56)
A | (2643.84, 78.38) to (2651.29, 89.56)
MULTIDROP | (2654.4, 78.38) to (2720.17, 89.56)
CONFIGURATION. | (2456.16, 90.86) to (2552.87, 102.04)
2. | (2443.68, 103.34) to (2453.03, 114.52)
ALL | (2456.16, 103.34) to (2476.05, 114.52)
INSTRUMENT | (2479.2, 103.34) to (2552.27, 114.52)
TAG | (2555.52, 103.34) to (2578.61, 114.52)
NUMBERS | (2581.92, 103.34) to (2637.37, 114.52)
ARE | (2640.72, 103.34) to (2663.53, 114.52)
PRECEDED | (2666.64, 103.34) to (2728.71, 114.52)
BY | (2731.68, 103.34) to (2746.57, 114.52)
PLANT | (2749.68, 103.34) to (2785.79, 114.52)
NO. | (2789.04, 103.34) to (2808.71, 114.52)
G74 | (2456.16, 115.82) to (2477.25, 127.0)
AND | (2480.4, 115.82) to (2504.07, 127.0)
PLATFORM | (2507.04, 115.82) to (2567.95, 127.0)
PREFIX | (2571.12, 115.82) to (2611.45, 127.0)
NO. | (2614.32, 115.82) to (2633.99, 127.0)
12. | (2637.12, 115.82) to (2652.71, 127.0)
3. | (2443.68, 128.3) to (2453.03, 139.48)
SPACE | (2456.16, 128.3) to (2493.85, 139.48)
SHALL | (2497.2, 128.3) to (2532.45, 139.48)
BE | (2535.84, 128.3) to (2550.73, 139.48)
ALLOCATED | (2553.84, 128.3) to (2620.47, 139.48)
FOR | (2623.68, 128.3) to (2647.11, 139.48)
RETRIEVING | (2650.08, 128.3) to (2718.53, 139.48)
THE | (2721.6, 128.3) to (2744.17, 139.48)
CORROSION | (2747.28, 128.3) to (2816.07, 139.48)
PROBE | (2456.16, 141.02) to (2495.29, 152.2)
ASSEMBLY | (2498.4, 141.02) to (2558.65, 152.2)
USING | (2561.76, 141.02) to (2596.85, 152.2)
HYDRAULIC | (2600.16, 141.02) to (2664.39, 152.2)
RETRIEVAL | (2667.36, 141.02) to (2729.49, 152.2)
TOOL. | (2732.88, 141.02) to (2766.47, 152.2)
4. | (2443.68, 153.5) to (2453.03, 164.68)
FUSIBLE | (2456.16, 153.5) to (2502.73, 164.68)
LOOP | (2505.84, 153.5) to (2536.81, 164.68)
CHARGING | (2540.16, 153.5) to (2599.97, 164.68)
FROM | (2603.28, 153.5) to (2636.11, 164.68)
HPU-001 | (2639.04, 153.5) to (2684.85, 164.68)
AND | (2688.0, 153.5) to (2711.67, 164.68)
LOGIC | (2714.64, 153.5) to (2749.59, 164.68)
FROM | (2752.56, 153.5) to (2785.39, 164.68)
HESD-001. | (2456.16, 165.98) to (2512.55, 177.16)
5. | (2443.68, 178.46) to (2453.03, 189.64)
COMMON | (2456.16, 178.46) to (2507.91, 189.64)
BLEED | (2511.12, 178.46) to (2547.75, 189.64)
VALVE | (2550.96, 178.46) to (2586.97, 189.64)
FOR | (2590.08, 178.46) to (2613.75, 189.64)
TEST | (2616.72, 178.46) to (2645.63, 189.64)
& | (2648.88, 178.46) to (2656.33, 189.64)
PRODUCTION | (2659.44, 178.46) to (2734.47, 189.64)
MANIFOLD | (2737.44, 178.46) to (2795.19, 189.64)
DRAIN | (2456.16, 190.94) to (2490.87, 202.12)
LINES. | (2493.84, 190.94) to (2529.35, 202.12)
6"x4" | (476.64, 194.91) to (495.44, 205.08)
4"-P-1012-15NX0P | (300.96, 200.52) to (386.27, 212.34)
6. | (2443.68, 203.42) to (2453.03, 214.6)
RETRIEVABLE | (2456.16, 203.42) to (2533.21, 214.6)
TYPE. | (2536.32, 203.42) to (2568.71, 214.6)
7. | (2443.68, 216.14) to (2453.03, 227.32)
GAUGE | (2456.16, 216.14) to (2496.49, 227.32)
SAVER | (2499.6, 216.14) to (2537.43, 227.32)
SHALL | (2540.64, 216.14) to (2576.13, 227.32)
BE | (2579.28, 216.14) to (2594.17, 227.32)
PROVIDED. | (2597.28, 216.14) to (2658.71, 227.32)
15NX0P | (437.76, 223.71) to (467.81, 233.88)
15LL0P12 | (486.96, 223.71) to (523.76, 233.88)
8. | (2443.68, 228.63) to (2453.03, 239.8)
TWO | (2456.16, 228.63) to (2482.85, 239.8)
OUT | (2485.92, 228.63) to (2509.55, 239.8)
OF | (2512.8, 228.63) to (2528.27, 239.8)
THREE | (2531.28, 228.63) to (2569.21, 239.8)
VOTING | (2572.32, 228.63) to (2615.33, 239.8)
LOGIC. | (2618.4, 228.63) to (2656.31, 239.8)
9. | (2443.68, 241.11) to (2453.03, 252.28)
CORROSION | (2456.16, 241.11) to (2524.95, 252.28)
SERVER | (2527.92, 241.11) to (2573.91, 252.28)
IS | (2576.88, 241.11) to (2587.45, 252.28)
LOCATED | (2590.8, 241.11) to (2643.75, 252.28)
AT | (2646.72, 241.11) to (2660.99, 252.28)
